"sccsn","C2a","C2b","C9","A2a","A2b","A6a","A6b","A11","C3a","C3b","socname","EP","Famine","Natural_Hazards","Chronic_Scarcity","v149","v157","v158","v235","v151","strat","Revised.latitude","Revised.longitude","A3a","A3b","A7a","A7b","General_TL5_Final","Soc_TL5_Final","Gender_TL5_Final","Mar_TL5_Final","Sex_TL5_Final","FM_TL5_Final"
2,3,3,3,4,4,3,3,3,1,1,"Kung_Bushmen",1950,NA,4,3,2,2,1,1,1,0,-19.83,20.58,"1","1","NA","NA",2.25,1.75,3,2.25,3,NA
13,3,3,3,3,2,2,2,2,NA,NA,"Mbuti",1950,1,1,1,1,1,1,3,1,0,1.5,28.33,"NA","NA","NA","NA",1.25,1.75,1,2,1.25,1.75
27,4,4,3,3,4,3,3,2,1,NA,"Massa_Masa",1910,3,2,1,1,2,1,4,5,0,10.5,15.5,"0","1","NA","NA",NA,NA,NA,NA,NA,NA
30,3,2,3,4,NA,4,NA,4,2,0,"Otoro_Nuba",1930,4,4,4,2,1,2,NA,5,1,11.33,30.67,"2","NA","2","NA",3,3.75,2.75,3.75,2.25,NA
22,4,4,3,3,4,NA,3,3,NA,NA,"Bambara",1902,NA,3,NA,3,3,4,7,5,1,12.5,-7,"NA","NA","1","1",3,4,3.75,3.25,2.25,4
24,3,3,3,3,NA,NA,3,3,1,2,"Songhai",1940,NA,2,NA,4,3,5,7,5,1,16.58,-1.67,"NA","NA","NA","NA",3.75,3.25,3.25,3.75,NA,NA
21,3,3,3,NA,4,3,3,3,NA,NA,"Wolof",1950,2,3,3,4,4,5,8,4,1,13.75,-15.33,NA,"NA",NA,"NA",2.375,NA,2.625,3.75,2.875,3
25,3,3,3,4,4,NA,4,4,NA,NA,"Pastoral_Fulani",1951,3,3,2,1,3,1,2,2,0,15,7.5,"0","1",NA,"NA",3,3.25,2.75,3.75,2.75,NA
23,3,4,3,4,4,NA,NA,3,1,1,"Tallensi",1934,2,4,2,1,2,2,5,5,1,10.66,-0.57,"1","1","NA","NA",3.25,3,2.75,3.25,3.25,3.75
12,4,3,4,NA,3,NA,2,2,NA,NA,"Ganda",1875,4,2,NA,2,5,4,7,5,1,0.33,32.5,NA,"0",NA,"1",4,3.5,3.875,3.125,3.125,4
8,2,3,3,NA,NA,NA,NA,NA,3,3,"Nyakyusa",1935,1,2,1,1,4,1,3,5,0,-9.5,34,NA,NA,NA,NA,3.125,NA,3.375,2.5,3.25,3.875
